argv,drift_max_m,entry_frame,entry_offset,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8750729206258128,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,77,0.0,1,nan,11.90361213684082,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.874779465599556,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999982,0.0,77,0.0,1,nan,11.909460067749023,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8787061459826666,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999964,0.0,77,0.0,1,nan,11.913269996643066,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8809031941653918,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,77,0.0,1,nan,11.917807579040527,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.875495454802196,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,77,0.0,1,nan,11.912415504455566,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8755991489158994,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999982,0.0,77,0.0,1,nan,11.913864135742188,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.878397910423384,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999964,0.0,77,0.0,1,nan,11.909283638000488,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.878178887484868,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,77,0.0,1,nan,11.89398193359375,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8756080918490183,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,77,0.0,1,nan,11.908896446228027,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8759279499651296,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999982,0.0,77,0.0,1,nan,11.913124084472656,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8753181660523084,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999964,0.0,77,0.0,1,nan,11.907636642456055,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8763310771958706,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,77,0.0,1,nan,16.4003963470459,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8761560407581195,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,77,0.0,1,nan,11.901729583740234,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.879169934459839,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999982,0.0,77,0.0,1,nan,11.916311264038086,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8785945183609747,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999964,0.0,77,0.0,1,nan,11.913646697998047,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8517576841108707,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,72,0.0,1,nan,11.888298988342285,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8445314035035416,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999982,0.0,72,0.0,1,nan,11.895859718322754,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.851237575679815,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999964,0.0,72,0.0,1,nan,11.89147663116455,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8375407708904303,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,72,0.0,1,nan,11.903313636779785,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8463177650385485,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,72,0.0,1,nan,11.895733833312988,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.852044380650981,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999982,0.0,72,0.0,1,nan,12.557113647460938,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8517949266582585,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999964,0.0,72,0.0,1,nan,11.897144317626953,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8492236033577876,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,72,0.0,1,nan,11.879095077514648,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.845019296960546,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,72,0.0,1,nan,11.901758193969727,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8516839922873785,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999982,0.0,72,0.0,1,nan,11.9014892578125,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8481217170517983,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-09-01T07:46:19Z,goal,1,TROT,0.9999999999999964,0.0,72,0.0,1,nan,11.893839836120605,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 17 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/ladder_phase.csv,,17,17,step_up,1,3.8526513974429024,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-09-01T07:46:19Z,goal,1,TROT,1.0,0.0,72,0.0,1,nan,11.887428283691406,,hold,2.0,5.0,0.0,
