argv,drift_max_m,entry_frame,entry_frame_arg,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,roll_cap_nm,roll_couple,roll_gain,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,17.634678496371052,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_WALK_MAX,step_up_0p02,1,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,1.0,0.0,2140,0.0,1,16.92,12.735574722290039,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.280613012486547,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_WALK_MAX,step_up_0p04,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,0.9999999999999982,0.0,2140,0.0,1,nan,15.314139366149902,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.6626965021440514,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_WALK_MAX,step_up_0p06,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,0.9999999999999964,0.0,2140,0.0,1,nan,13.18721866607666,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.8190295454929217,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_WALK_MAX,step_up_0p08,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,1.0,0.0,2140,0.0,1,nan,17.21259880065918,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.7073389803478722,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_WALK_MAX,step_up_0p10,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,1.0,0.0,2140,0.0,1,nan,14.743562698364258,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.6877408108248741,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_WALK_MAX,step_up_0p12,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,0.9999999999999982,0.0,2140,0.0,1,nan,15.271280288696289,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.798488315502161,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_WALK_MAX,step_up_0p14,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,0.9999999999999964,0.0,2140,0.0,1,nan,13.507316589355469,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.7885765745038598,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_WALK_MAX,step_up_0p16,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,1.0,0.0,2140,0.0,1,nan,13.955166816711426,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.761673702529403,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_WALK_MAX,step_up_0p18,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,1.0,0.0,2140,0.0,1,nan,12.724245071411133,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_WALK_MAX --reps 1 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/walk_step.npz --results-csv outputs/roll/walk.csv,,0,0,step_up,1,1.7807154647114372,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_WALK_MAX,step_up_0p20,0,0,,off,,2026-09-02T02:10:18Z,goal,1,WALK,0.9999999999999982,0.0,2140,0.0,1,nan,12.696514129638672,,off,nan,0.0,0.0,
